ngram,doc_id,span,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Qin,225,Qin,0.0,0.0,1,402,0,0.0,1.0,0.0,0.0,0.0,1.0,6635067063807956629,0,99,16235386156175103506,0.0,404,0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,426,378,4,1.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Zhao,225,Zhao,0.0,0.0,1,440,0,0.0,1.0,0.0,0.0,0.0,1.0,3002984154512732771,0,84,1292078113972184607,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,378,6,1.0,0.0,0.0,0.0,0.0,1432046011997238756,0,95,15794550382381185553
Yan,225,a weak Yan,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,12646065887601541794,0,96,12646065887601541794,0.0,399,0,1.0,0.0,0.0,0.0,0.0,15297485476841041274,0,83,10554686591937588953,413,0,7,0.0,0.0,0.0,0.0,0.0,11901859001352538922,0,89,15267657372422890137
Qin,73,Qin Zhong,0.0,0.0,1,426,378,0.0,1.0,0.0,0.0,0.0,0.0,8605206886949496001,0,95,15794550382381185553,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,378,0,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Qin Zhong,73,Qin Zhong,0.0,0.0,2,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,1.0,14692702688101715474,0,99,17109001835818727656,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,378,0,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Zhong,73,Qin Zhong,0.0,0.0,1,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,1.0,14692702688101715474,0,99,17109001835818727656,0.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553,426,378,0,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Duke,73,Duke Zhuang,1.0,0.0,1,401,378,0.0,1.0,0.0,0.0,0.0,0.0,5929456468329207955,0,95,15794550382381185553,0.0,7972625988311165362,0,1.0,0.0,0.0,0.0,1.0,12558846041070486771,0,99,17109001835818727656,401,378,3,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,Duke Zhuang,1.0,0.0,2,442,0,0.0,0.0,1.0,0.0,0.0,0.0,12646065887601541794,0,96,12646065887601541794,0.0,7972625988311165362,0,1.0,0.0,0.0,0.0,1.0,12558846041070486771,0,99,17109001835818727656,401,378,3,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,Duke Zhuang,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,12646065887601541794,0,96,12646065887601541794,1.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553,401,378,3,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
King,73,King Xuan,1.0,0.0,1,426,378,0.0,1.0,0.0,0.0,0.0,0.0,9295486552644530852,0,95,15794550382381185553,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,7464393751932445219,0,95,15794550382381185553
King Xuan,73,King Xuan,1.0,0.0,2,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,0.0,8241596839251107902,0,99,17109001835818727656,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,7464393751932445219,0,95,15794550382381185553
Xuan,73,King Xuan,0.0,0.0,1,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,0.0,8241596839251107902,0,99,17109001835818727656,1.0,7037928807040764755,0,1.0,0.0,0.0,0.0,0.0,7464393751932445219,0,95,15794550382381185553,426,0,0,0.0,0.0,0.0,0.0,0.0,7464393751932445219,0,95,15794550382381185553
Duke,73,Duke Zhuang,1.0,0.0,1,413,378,0.0,1.0,0.0,0.0,0.0,0.0,5929456468329207955,0,95,15794550382381185553,0.0,8206900633647566924,0,1.0,0.0,0.0,0.0,0.0,8241596839251107902,0,99,17109001835818727656,413,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,Duke Zhuang,1.0,0.0,2,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,8206900633647566924,0,1.0,0.0,0.0,0.0,0.0,8241596839251107902,0,99,17109001835818727656,413,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,Duke Zhuang,0.0,0.0,1,404,0,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,1.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553,413,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Western,73,the Western Rong,0.0,0.0,1,413,383,0.0,1.0,0.0,0.0,0.0,0.0,5590772013854387968,0,95,15794550382381185553,0.0,412,383,1.0,0.0,0.0,0.0,1.0,7425985699627899538,0,89,15267657372422890137,413,383,7,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
