ngram,doc_id,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,sentence_id,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Zhuang,73,0,0,1,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,1,7037928807040764755,378,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,0,401,378,3,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
King,73,1,0,1,426,378,0,True,False,False,False,False,9295486552644530852,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,1,426,0,0,0,0,0,0,0,7464393751932445219,0,95,15794550382381185553
King Xuan,73,1,0,2,8206900633647566924,0,0,True,False,False,False,False,8241596839251107902,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,1,426,0,0,0,0,0,0,0,7464393751932445219,0,95,15794550382381185553
Xuan,73,0,0,1,8206900633647566924,0,0,True,False,False,False,False,8241596839251107902,0,99,17109001835818727656,1,7037928807040764755,0,True,False,False,False,False,7464393751932445219,0,95,15794550382381185553,1,426,0,0,0,0,0,0,0,7464393751932445219,0,95,15794550382381185553
Duke,73,1,0,1,413,378,0,True,False,False,False,False,5929456468329207955,0,95,15794550382381185553,0,8206900633647566924,0,True,False,False,False,False,8241596839251107902,0,99,17109001835818727656,1,413,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,1,0,2,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,8206900633647566924,0,True,False,False,False,False,8241596839251107902,0,99,17109001835818727656,1,413,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,0,0,1,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,1,7037928807040764755,378,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,1,413,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Western,73,0,0,1,413,383,0,True,False,False,False,False,5590772013854387968,0,95,15794550382381185553,0,412,383,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,1,413,383,7,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Western Rong,73,0,0,2,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,412,383,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,1,413,383,7,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Rong,73,0,0,1,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,7037928807040764755,383,True,False,False,False,False,10555827227230857786,0,95,15794550382381185553,1,413,383,7,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
The,73,0,0,1,426,0,0,True,False,False,False,False,7464393751932445219,0,91,15308085513773655218,0,0,0,0,0,0,0,0,0,0,0,0,2,426,0,0,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Duke,73,1,0,1,436,378,0,True,False,False,False,False,5929456468329207955,0,95,15794550382381185553,0,440,0,True,False,False,False,True,3791531372978436496,0,84,1292078113972184607,2,436,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
