A_id,B_id
1071,2604
1071,2957
1071,2330
1071,248
1071,325
1071,63
1071,42
1071,1391
1071,808
1071,205
1071,7
1074,1599
1074,2330
1077,2814
1086,1242
1089,7
1089,945
1089,2879
1089,2661
1089,2417
1092,2438
1098,1066
1104,105
1107,2330
1107,2957
111,2662
1128,1553
1131,2104
1134,2661
1140,2000
1149,2241
1152,414
1155,238
1158,1050
1167,2330
1170,951
1170,2661
1176,2957
1176,2330
1179,508
1182,1553
1197,2330
1200,1811
1200,2977
1200,2661
1200,2101
1203,1396
1212,80
1215,978
1221,2919
123,2186
1248,1575
1257,1330
126,2695
1266,1449
1266,2438
1269,2661
1272,2330
1275,1553
129,1685
129,2330
1293,1526
1296,2330
1299,937
132,2827
132,2438
132,1571
132,994
1323,2661
1341,2661
1344,2957
1344,2330
1347,62
1356,1553
1371,1120
1386,1553
1386,1878
1395,759
1398,1496
1398,2330
1407,2661
1407,2879
1407,7
1407,945
141,2107
1431,248
1431,205
1431,325
1431,63
1431,808
1431,1391
1431,2604
1431,2330
1431,2957
1434,1811
1434,2101
1434,2661
144,117
1443,2661
1443,2879
1446,945
1446,2438
1446,2661
1446,2879
1452,2827
1452,2438
1452,1571
1458,135
1461,2241
1467,2851
1476,2438
1476,22
1479,945
1479,2661
1479,2879
1479,2330
1482,2225
1491,703
1497,945
1497,2661
1503,2241
1509,1553
1509,431
1512,780
1512,1394
1518,29
1518,2214
1521,1399
1521,29
1521,2661
1521,2604
1539,2101
1551,734
1560,1577
1563,2139
1566,2438
1569,827
1578,84
1578,945
1578,2661
1578,2879
1581,2101
159,211
1596,2330
1602,388
1608,2827
1608,2438
1608,471
1608,1571
1611,385
1614,2330
1614,2957
1614,1035
1617,1210
1623,945
1623,2661
1623,2879
1623,2695
1626,2827
1626,2438
1626,1571
1626,1159
1629,2661
1632,73
1644,2624
1644,2233
1644,1658
1647,540
165,2661
1650,477
1659,1900
1662,2789
1665,2661
1671,2661
1674,161
168,1553
1680,808
1680,63
1680,1047
1680,205
1680,248
1680,7
1680,284
1680,325
1680,2330
1680,2604
1680,2142
1692,2409
1701,2330
1704,630
1716,1680
1728,2661
1731,1553
174,1248
1740,2389
1749,1655
1752,2596
1752,95
1755,768
1758,2957
1758,2330
177,1993
1773,95
1773,2513
1779,281
1791,2336
1794,453
180,678
1809,2037
1815,2330
1815,2957
1821,2661
1824,1235
1827,2330
183,2330
183,2957
183,874
1836,2330
1836,410
1851,2330
1857,29
186,1571
186,2827
186,2438
1863,2330
1863,2202
1863,2957
1866,194
1878,40
1881,874
1881,2330
1884,2330
1884,2604
1884,7
1884,1391
1884,248
1887,1938
1905,1662
1911,2330
1911,2695
1914,2661
1914,184
1914,945
1920,36
1920,703
1926,1389
1938,2749
1941,807
1950,424
1965,2330
1965,473
1968,56
1968,255
198,2330
198,7
1980,228
1986,2580
1989,2330
1995,1490
1995,2330
2004,2855
2007,1325
2019,1946
2019,95
2019,2596
2025,2509
204,1490
2052,610
2055,339
2067,1302
2067,2579
207,2330
2070,1953
2073,1719
2082,7
2082,945
2082,2879
2082,2661
2088,2330
2094,2439
2097,754
2097,1302
21,274
2100,2299
2109,1567
2115,1079
2115,1302
2115,2488
2118,892
2127,2330
2127,2957
213,1553
2130,2888
2133,2330
2133,1391
2133,131
2133,808
2142,1068
2142,29
2142,202
2142,2729
2145,2330
2145,2661
2145,2957
2145,2729
2145,2604
2145,2879
2145,2241
2145,945
2145,1391
2145,205
2145,248
2145,808
2145,325
2145,7
2145,63
2148,895
2154,1553
216,1553
216,960
216,1068
216,165
216,6
216,1391
216,2547
2163,2101
2166,1258
2166,2438
2175,2695
2175,2330
2187,2330
2193,2513
2196,1251
2205,1302
2205,2488
2208,2330
2208,1490
2208,48
2208,325
2211,611
2214,330
2217,945
2217,2879
2217,2661
2235,2566
2250,2661
2253,2957
2253,2330
2259,1461
2262,1061
2274,1063
2280,2438
2280,2827
2280,1404
2280,1571
2283,325
2283,248
2283,63
2283,7
2283,1391
2283,205
2283,808
2283,2330
2283,2604
2283,2957
2289,1564
2292,19
2301,325
2301,1391
2301,2330
2307,2521
2325,2101
2331,2837
2334,2879
2334,1553
234,1057
2340,7
2340,248
2340,2604
2340,2330
2355,2147
2361,2661
2361,2604
2361,357
237,2309
2370,2330
2373,945
2373,2661
2373,2879
2376,2695
2382,2440
2382,2729
2382,29
2382,1068
24,2330
24,309
24,1490
2400,1420
2403,2438
2403,2827
2403,266
2403,1571
2412,2896
2427,655
2433,2330
2436,1351
2445,2438
2445,2827
2445,162
2445,1571
2457,2695
246,130
2472,2330
2472,2957
2481,23
249,466
2490,2661
2490,2879
2493,29
2493,357
2493,1258
2493,2661
2493,2604
2496,1001
2499,2324
2502,1744
2508,779
2508,2330
2511,2438
2517,2330
2520,2101
2523,2661
2541,66
2544,371
2547,2240
255,620
2553,734
2559,808
2559,63
2559,7
2559,325
2559,2330
2562,2604
2562,2330
2562,205
2562,63
2562,7
2562,808
2562,248
2562,325
2568,7
2568,502
2568,248
2568,2604
2568,2330
2571,2330
2571,2637
2574,1553
2577,2577
258,592
2595,484
2604,1448
2604,2661
2613,2330
2613,2957
2619,29
2625,2041
2631,2330
2634,2330
2658,2604
2661,29
2661,1068
2661,145
2661,6
2664,2330
2664,395
2664,248
2664,284
2664,1391
2664,7
2667,1809
2676,999
2685,1435
2685,2661
2691,220
2697,1165
27,1297
270,2330
270,2438
270,1022
2706,2330
2727,1182
2745,945
2745,2661
2745,2879
2757,699
2766,808
2772,2661
2772,361
2772,945
2784,2438
2784,2330
2793,401
2802,1302
2805,2330
2805,205
2805,325
