movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
236,The Other Side of the Wind,2018,,82%,56%,122 minutes,Drama,R,,Orson Welles,"John Huston, Peter Bogdanovich, Robert Random, Susan Strasberg, Oja Kodar","Orson Welles, Oja Kodar"
237,Point Break,2016,,10%,29%,113 minutes,Action & Adventure,PG-13,,Ericson Core,"Luke Bracey, Edgar Ramirez, Teresa Palmer, Mattias Padin Varela, Clemans Schick, Ray Winstone, Delroy Lindo, James Le Gros, Max Thieriot, Tobias Santelmann, Judah Lewis, Jaymes Butler, Bojesse Christopher, Glynis Barber, Nikolai Kinski, Eddie Santiago Jordan, Steve Toussaint, Ronak Patani, Patrick DeWayne, Seumas Sargent, Numan Acar, Julien Lambert, Laird Hamilton, Jorg Reichlin, Stephan Baumecker, Christian Alexander Koch, Jeff Burrell, Francesco Martino, Marco Velutti, Louie Enriquez, Gerard Monaco, Mouloud Achour, Bob Burnquist, Sal Masekela, Faris Al-Sultan, Steve Aoki, Jeb Corliss, Kenny Glasgow, Eric Koston, Chris Sharma, Xavier DeLeRue, Christian Haller",Kurt Wimmer
238,Mountain Men,2016,,80%,43%,90 minutes,"Action & Adventure, Comedy, Drama",NR,,Cameron Labine,"Chace Crawford, Tyler Labine, Ben Cotton, Britt Irvin, Brittney Irvin, Christine Willes, Paralee Cook, Jill Maria Robinson",Cameron Labine
239,It Had to Be You,2016,,60%,42%,85 minutes,"Comedy, Musical & Performing Arts, Romance",R,,Sasha Gordon,"Cristin Milioti, Dan Soder, Halley Feiffer, Mark Gessner, Kate Simses, Erica Sweany, Danny Defararri, Rachel York, Kyle Mooney, Nick Mennell, Nicolo Grelli, William Stephensen, Autumn Stein, Rana Roy, Baby Lucas, Michael Simon Hall, Marie-Agnes Geha, David Ross, Laura Sametz, Kate Cullen Roberts, Hutchi Hancock, Bryce Pinkham",Sasha Gordon
240,Human Flow,2017,,91%,81%,140 minutes,Documentary,PG-13,,Ai Weiwei,,
241,Swiped,2018,,40%,89%,93 minutes,Comedy,NR,,Ann Deborah Fishman,"Nathan Gamble, Kendall Sanders, Noah Centineo, Leigh-Allyn Baker, Kalani Hilliker, George Hamilton",Ann Deborah Fishman
242,Age of Summer,2018,,50%,77%,89 minutes,Comedy,NR,,Bill Kiely,"Percy Hynes-White, Peter Stormare, Charlotte Sabina, Brian Van Holt, Diarmaid Murtagh, Kane Ritchotte, Madeleine Wade, Jake Ryan, Sandra Hinojosa, Sam Puefua, Mcabe Gregg, Ryan Salazar, Jonathan Daviss, Ronak Gandhi, Lindsey Elizabeth","Bill Kiely, David B. Harris"
243,Freeheld,2016,,49%,53%,103 minutes,Drama,PG-13,,Peter Sollett,"Julianne Moore, Ellen Page, Michael Shannon, Steve Carell, Josh Charles, Luke Grimes, Mary Birdsong, Gabriel Luna, Dennis Boutsikaris, Skipp Sudduth, Tom McGowan, Jeannine Kaspar, William Sadler, Anthony DeSando, Adam LeFevre, Kevin O'Rourke, Melody Krell, Stink Fisher, Suzanne Savoy, Kelly Deadmon, Mary Joy, Chris Skeries, Karl Jacob, Michael Sahr Ngaujah, Mina Sundwall, Robbie Tann, Ice Aysun Leidl, Justine S. Harrison, Dane B. Wells, Joe Diomede, Jessica Pressman, Susan Merson, Henny Russell, Oliver Solomon, Tom Place, Traci Hovel, Julie Reiber, Jess Jacobs, Portia Reiners",Ron Nyswaner
244,We the Animals,2018,,91%,76%,92 minutes,Drama,R,,Jeremiah Zagar,"Evan Rosado, Isaiah Kristian, Raul Castillo, Sheila Vand, Josiah Gabriel","Jeremiah Zagar, Daniel Kitrosser"
245,Pelé: Birth of a Legend,2016,,30%,69%,107 minutes,"Drama, Sports & Fitness",PG,,"Jeff Zimbalist, Michael Zimbalist","Seu Jorge, Mariana Nunes, Diego Boneta, Colm Meaney, Rodrigo Santoro, Vincent D'Onofrio, Leonardo Lima Carvalho, Kevin de Paula, Nathan Alves Rosseto, Rafael Henrique DeSouza Reuther, Julio Levy, Theo Rodrigues Coelho Lima, Jovana, Raphael Benicio Thome, Daniel DeAraujo, Antonio Karabachian, Jose Victor Pires DaFonseca, Bruce Gomlevski, Lui Mendes, Milton Gonçalves, Tarciso Rossi, Carey Strella, Gabriel Vinicius Reis-DeOliveira, Gabriel Vinicius Reis DeOliveira, André Mattos, Alvaro Diniz, Fernando Caruso, Jorge Xavier, Icaro Amado, Felipe Simas, Guilherme Martins, Arthur Macedo, Mailson Moura, Milson Ferreira, Fernando Pitt, Duda Monteiro DosSantos, Garcia Junior, Gustavo Mascarenhas Ribas, Sergio Menezes, Charles Myara, Raffaele Casuccio, Alex Bilbao, Fabiano Bandeira, Thiago Rocha, Cinara Leal, Agusto Madeira, Emmanuel Pasqualini, Jon Coterill, Arthur Murphy, Jerome Franz, Ricardo Accola, Roger Haag, Arthur Jansen, Lin Mo Shi, Ivan Orlic","Jeff Zimbalist, Michael Zimbalist"
246,First Man,2019,,87%,66%,138 minutes,Drama,PG-13,,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Ciarán Hinds, Christopher Abbott, Patrick Fugit, Ethan Embry, Lukas Haas, Shea Whigham, Pablo Schreiber",Josh Singer
247,Keanu,2016,,77%,55%,98 minutes,"Action & Adventure, Comedy",R,,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish, Method Man, Darrell Britt-Gibson, Jason Mitchell, Jamar Neighbors, Luis Guzman, Will Forte, Nia Long, Rob Huebel, Madison Wolfe, Jordyn A. Davis, James Yeargain, Brittany Seymour, Richard Holden, Nadiyah Skyy Taylor, Susan McBrien, Jenny Ballard, Ian Casselberry, Neil Wells, David A. Cole, Reginal Varice, Nicholas Hayner","Alex Rubens, Jordan Peele"
248,Dheepan,2017,,87%,83%,100 minutes,Drama,R,,Jacques Audiard,"Jesuthasan Anthonythasan, Kalieaswari Srinivasan, Claudine Vinasithamby, Faouzi Bensaïdi, Vincent Rottiers, Marc Zinga, Franck Falise","Jacques Audiard, Thomas Bidegain, Noé Debré"
249,Outlaw King,2018,,62%,66%,117 minutes,"Action & Adventure, Drama",R,,David Mackenzie,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell, Tony Curran, Stephen Dillane, James Cosmo","Bathsheba Doran, James MacInnes, David Mackenzie, Mark Bomback, David Harrower"
250,The Notebook,2014,,68%,67%,112 minutes,"Art House & International, Drama",R,,János Szász,"László Gyémánt, Lázló Gyémánt, András Gyémánt, Piroska Molnár, Ulrich Thomsen, Ulrich Matthes, Gyöngyvér Bognár, Gyonyver Bognar, Orsolya Tóth, János Derzsi, Enikö Börcsök, Diána Kiss, Peter Andorai, Sabin Tambrea","András Szekér, János Szász, Agota Kristof, Tom Abrams"
251,The Decline of Western Civilization,2016,,100%,85%,100 minutes,"Documentary, Musical & Performing Arts, Special Interest",R,,Penelope Spheeris,"Alice Bag Band, Black Flag, Catholic Discipline, The Circle Jerks, Fear, The Germs, Keith Morris",Penelope Spheeris
252,The Red Pill,2017,,29%,92%,117 minutes,Documentary,NR,,Cassie Jaye,"Paul Elam, Warren Farrell, Erin Pizzey, Karen Straughan, Harry Crouch",
253,Here and Now (Blue Night),2019,,23%,5%,96 minutes,"Drama, Musical & Performing Arts, Romance",R,,Fabien Constant,"Sarah Jessica Parker, Simon Baker, Common, Taylor Kinney, Waleed Zuaiter, Jacqueline Bisset, Renée Zellweger",Laura Eason
254,Sophie and the Rising Sun,2017,,64%,59%,105 minutes,Drama,R,,Maggie Greenwald,"Julianne Nicholson, Takashi Yamaguchi, Margo Martindale, Diane Ladd, Lorraine Toussaint, Mickey Dodge, Don Henderson Baker, David Dickson Reynolds, Kenneth Charles Graham, Sabrina Mayfield, Jan Hartsell, Cali Ward, Meredith Jackson, Colie McClellan, Ben VanderMey",Maggie Greenwald
255,Bright,2017,,25%,84%,,Drama,NR,,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramirez, Ike Barinholtz, Enrique Murciano, Jay Hernandez, Andrea Navedo, Veronica Ngo, Alex Meraz, Margaret Cho, Brad William Henke, Dawn Olivieri, Kenneth Choi",Max Landis
256,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2017,,84%,84%,96 minutes,Documentary,PG-13,,Morgan Neville,"Yo-Yo Ma, Cristina Pato, Wu Man, Kinan Azmeh, Kinan Azmeh, Kayhan Kalhor",
257,The Shallows,2016,,78%,59%,87 minutes,"Drama, Mystery & Suspense",PG-13,,Jaume Collet-Serra,"Blake Lively, Oscar Jaenada, Sedona Legge, Brett Cullen, Angelo Josue, Lozano Corzo, José Manuel, Trujillo Salas, Pablo Calva, Janelle Bailey, Diego Espejel, Ava Dean, Chelsea Moody",Anthony Jaswinski
258,American Made,2018,,86%,78%,115 minutes,"Action & Adventure, Drama, Mystery & Suspense",R,,Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons, Caleb Landry Jones, Jayma Mays, Lola Kirke, Alejandro Edda, Benito Martinez, E. Roger Mitchell, Jed Rees, Fredy Yate Escobar, Mauricio Mejía, Robert P. Farrior, Morgan Hinkleman, Alberto Ospino, Filipe Bernedette, Daniel Lugo, Jayson Warner Smith, William Mark McCullough, April Billingsley, Lauren Boyd, Lauren Revard, Marcus Hester, Mike Pniewski, Frank Licari, Alex Collins, Scott Poythress, Connor Trinneer, Alpha Trivette, Kevin L. Johnson, Devere Jehl, Emilio Sierra, Leon Lamar, Tony Guerrero, Maria Howell, Darla Delgado, Justice Leak, Robert Pralgo, Mickey Sumner, Daniel May, Chloe Swan Sparwath, Alex Quarles, Trip McCarthy, Zachary Powell, Byron Diaz, Byron Wigfall, Carlos López, Jairo Ordoñez, Jeffrey Olsen, Stephen Conroy, Juan Esteban Ramirez Toro",Gary Spinelli
259,Pride,2014,,91%,89%,120 minutes,"Comedy, Drama",R,,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine, Andrew Scott, Joe Gilgun, Menna Trussler, Joseph Gilgun, George MacKay, Ben Schnetzer, Abram Rooney, Jim McManus, Deddie Davies, Monica Dolan, Matthew C. Flynn, Faye Marsay, Freddie Fox, Jordan Metcalfe, Roger Morlidge, Dean Ashton, Chris Overton, Joshua Hill (IV), Adam Ewan, Josh Rochford, Karina Fernandez, Jessie Cave, Jessica Gunning, Rhodri Meilir, Lisa Palfrey",Stephen Beresford
260,Inside,2018,,29%,23%,100 minutes,"Horror, Mystery & Suspense",NR,,Miguel Ángel Vivas,"Rachel Nichols, Laura Harring, Stany Coppet, Andrea Tivadar, Craig Stevenson, David Chevers, Richard Felix, Maarten Swaan, Steve Howard","Manu Diez, Jaume Balagueró, Alexandre Bustillo, Julien Maury"
261,Boarding School,2018,,33%,65%,101 minutes,"Horror, Mystery & Suspense",R,,Boaz Yakin,"Luke Prael, Sterling Jerins, Samantha Mathis, Will Patton, Nadia Alexander, Tammy Blanchard, Lucy Walters",Boaz Yakin
262,Always Shine,2017,,91%,53%,85 minutes,"Drama, Mystery & Suspense",NR,,Sophia Takal,"Mackenzie Davis, Caitlin FitzGerald, Lawrence Michael Levine, Alexander Koch, Jane Adams (II), Khan Baykal, Michael Lowry, Colleen Camp, Julian Tolentino, Jason Foster, Stella Foster, Marisa Takal, Robert Longstreet, Simon Barrett, Jordan Kessler, Noah Gershman",Lawrence Michael Levine
263,Delirium,2018,,0%,46%,88 minutes,Horror,NR,,Johnny Martin,"Mike C. Manning, Ryan Pinkston, Seth Austin, Griffin Freeman, August Roads, Elena Sanchez","Lisa Clemens, Andy Cheng, Johnny Martin"
264,Richard Linklater: Dream Is Destiny,2016,,94%,59%,93 minutes,Documentary,NR,,"Louis Black, Karen Bernstein","Richard Linklater, Matthew McConaughey, Patricia Arquette, Ethan Hawke, Jack Black, Julie Delpy, John Pierson, Kevin Smith, John Sloss, Jonathan Sehring, Michael Barker, Kent Jones, Clark Walker, Tom Pallotta, Jonathan Demme",
265,Chappaquiddick,2018,,81%,69%,101 minutes,Mystery & Suspense,PG-13,,John Curran,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Clancy Brown, Olivia Thirlby, Andria Blackman, Taylor Nichols","Taylor Allen, Andrew Logan"
266,King Jack,2016,,94%,73%,80 minutes,"Action & Adventure, Drama",NR,,Felix Thompson,"Charlie Plummer, Cory Nichols, Danny Flaherty, Christian Madsen, Erin Davie, Yainis Ynoa, Chloë Levine, Scarlet Lizbeth, Melvin Mogoli, Francis Piscopo, Elijah Richardson, Tony Divitto, Robert Nadig, Meeko Gattuso, Keith Leonard",Felix Thompson
267,Infinitely Polar Bear,2016,,81%,71%,90 minutes,"Comedy, Drama",R,,Maya Forbes,"Mark Ruffalo, Zoe Saldana, Keir Dullea, Imogene Wolodarsky, Ashley Aufderheide, William Xifaras, Wallace Wolodarsky, Nekhebet Kum Juch, Manoah Angelo, Muriel Gould, H. Tod Randolph, Beth Dixon, Georgia Lyman, Paul Elias, Chris Papavasiliou, Patrick Shea, Liam McNeill, Mark S. Cartier, Alicia Love, Wendy Forbes, Mary O'Rourke, Clementine Wolodarsky, Jill Forney, Uatchet Jin Juch",Maya Forbes
268,My All American,2016,,32%,77%,118 minutes,Drama,PG,,Angelo Pizzo,"Aaron Eckhart, Robin Tunney, Sarah Bolger, Finn Wittrock, Michael Reilly Burke, Mackenzie Meehan, Richard Kohnke, Alex MacNicoll, Rett Terrell, John Chriss, Todd Allen, Rebecca Chulew, Juston Street, Marco Perella, Tracey Ely, Stephen Stanton, Tim Ogletree, Troy Ogletree, Austin Willis, Gary Teague, Zane-Eric Matthews, Nick W. Nicholson, Brent Anderson, Eddie Davenport, Abriella Gonzales, Dane Berkshire, Diane Selken, Laura Evans, Joshua Hawkins, Grant Merritt, Eric Hack, Jay Bowles, Catherine Lawrence Kinslow, Alex Brewster, Walker Satterwhite, Regan Goins, Heather Materne, Andy Skelton, David Stokey, Alyssa Broun, Carlton Caudle, Rosendo 'Ross' DeLeon, Hector Becerra, Robert Lloyd Moore, Sonja Gordon, Casey Charland, Damon Carney, Hays McEachern, Stephen Latham, Chris Roark, Kristin M. Miller, Diane Dearsan, Dennis Alcorn, Jeff Brody, Christopher Gulas, Julie Cude-Eaton, Jordan Shipley, Charlie Crenshaw, Matthew Zapata, Mary Ann Elekes, Brittany Clark, Brett Brock, Samantha Frank, Kaci Beeler, Eric Zettina, Marlon Price, David Mooney, Joshua Briscoe, Stacy Harrell, Samantha Powell, Tony Lee Yates, Colin Haag Jr., Stan Taylor, Chris J. Knight, Brooke Morgan, Lauren Leal, Tommy McJunkins, Dylan Starkey, Jacub Dacus, Charles Reynolds, Wallace Jones, Sam Stinson, Reynolds Washam, Sandra Avila, Glenn Bert Coe Jr., Cody Springer, J. Taylor, Grant Giles, Gene Cervenka, Ellen Crouch, Cassandra Dixson, Patty Allieri, Mike Seitz, Doug Shuffield, Joshua Davis, Charley Austin, Jim Flowers, Perry Hinson",Angelo Pizzo
269,Free Fire,2017,,69%,52%,85 minutes,"Action & Adventure, Comedy, Drama",R,,Ben Wheatley,"Brie Larson, Cillian Murphy, Armie Hammer, Sam Riley, Sharlto Copley, Jack Reynor, Babou Ceesay, Enzo Cilenti, Noah Taylor, Tom Davis (XXVI), Michael Smiley, Mark Monero, Patrick Bergin","Ben Wheatley, Amy Jump"
270,The Lost City of Z,2017,,86%,57%,140 minutes,"Action & Adventure, Drama",PG-13,,James Gray,"Charlie Hunnam, Tom Holland (II), Robert Pattinson, Sienna Miller, Angus Macfadyen",James Gray
271,To the Bone,2017,,70%,64%,107 minutes,Drama,NR,,Marti Noxon,"Lily Collins, Carrie Preston, Lili Taylor, Alex Sharp, Liana Liberato, Brooke Smith, Kathryn Prescott, Keanu Reeves, Alanna Ubach",Marti Noxon
272,Wolf Totem,2015,,67%,49%,122 minutes,Action & Adventure,PG-13,,Jean-Jacques Annaud,"William Feng (VI), Shawn Dou, Ankhnyam Ragchaa, Yin Zhusheng, Basen Zhabu, Baoyingexige","Alain Godard, Jean-Jacques Annaud, Lu Wei, John Collee"
273,Ratchet & Clank,2016,,20%,42%,94 minutes,"Action & Adventure, Animation, Comedy",PG,,"Kevin Munroe, Jericca Cleland","Paul Giamatti, John Goodman, Bella Thorne, Rosario Dawson, Jim Ward, Armin Shimerman, Vincent Tong, Andrew Cownden, James Arnold Taylor, David Kaye, Sylvester Stallone, Lee Tockar, Tabitha St. Germain, Brian Dobson, Brad Swaile, Brian Drummond, Cole Howard, Ian James Corlett, Alessandro Juliani, Rebecca Shoichet, Don Briggs","Kevin Munroe, Gerry Swallow"
274,USS Indianapolis: Men of Courage,2017,,17%,30%,135 minutes,"Action & Adventure, Drama",R,,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, James Remar, Matt Lanter, Brian Presley, Callard Harris, Yutaka Takeuchi, Johnny Wactor, Adam Scott Miller, Cody Walker, Steven Varnes, Joey Capone, Justin Nesbitt, Matthew Pearson, Shamar Sanders, Craig Tate, Mandela Van Peebles, Emily Tennant, Max Ryan, Patrice Cols, Currie Graham, Timothy Patrick Cavanaugh, José Julián, Weronika Rosati, Gary Grubbs, Mattie Liptak, Casey Myers, William Tomeoki, Zero Kazama, Emily Marie Palmer, Judd Lormand, Jacob McManus, Jaime Channing, Edward Delmore, lll, Jerod Daniel Perez, Stan Houston, Brian Keith Matney, Kirk Jordan, Charles Wiedman, Patrick O'Driscoll, Ladson Deyne, Bill Riales, Joshua Dease, Michael Brannon, Zack Rukavina, Marley Van Peebles, Pete Riehm, Jason Rice, Rebecca Pena, Charity Sills, Sasha Feldman, Shane Cavanaugh","Cam Cannon, Richard Rionda del Castro"
275,The Dressmaker,2016,,55%,66%,118 minutes,Drama,R,,Jocelyn Moorhouse,"Kate Winslet, Liam Hemsworth, Hugo Weaving, Sarah Snook, Judy Davis, Caroline Goodall, Julia Blake, Shane Jacobson, Kerry Fox, Rebecca Gibney, James MacKay, Gyton Grantley, Barry Otto, Sacha Horler, Hayley Magnus, Alison Whyte, Shane Bourne, Olivia Sprague, Rachael Lorenz, Geneviève Lemon, Beulah Harridene, Muriel Pratt, Tracy Harvey, Simon Maiden, Terry Norris, Rory Potter, Darcey Wilson, Mark Leonard Winter, Amanda Woodhams, Eric Beach, Ed McSwiney, Stan Leman, Madeleine Hogan, Sage Barreda, Caroline Lee, Gregory Quinn, Geneviève Picot, Margot Knight, Jason Buckley, Fletcher Humphrys, Lucy Moir, Katia Nizic, Spike Hogan, Grace Rosebirch, Alex DeVos, Roy Barker, Judah Hobbs, Lanie Lane, Sandra Talty, Howard Cairns, Malcolm Cole, Simon Farrow, Richard Anastasios, Mike Snow, Adrienne Pickering, Charlotte Friels","Jocelyn Moorhouse, P.J. Hogan"
276,Footnotes (Sur quel pied danser),2017,,67%,,85 minutes,"Comedy, Musical & Performing Arts",NR,,"Kostia Testut, Paul Calori","Pauline Etienne, Olivier Chantreau, François Morel, Loïc Corbery, Julie Victor","Kostia Testut, Paul Calori"
277,3 Generations,2017,,33%,45%,87 minutes,"Comedy, Drama",PG-13,,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Maria Dizzia, Sam Trammell, Andrew Polk, Marcos Gonzalez, Ira Jackson, Antonio Ortiz, Marquis Rodriguez, Tessa Albertson, Carlos Jordan, Gameela Wright, Lucca De Oliveira, Francesca Keller, Jinn S. Kim, Elle Winter, Susan Blackwell, Maxwell Simkins, Matta Marie Conforti, Eva Kaminsky","Nikole Beckwith, Gaby Dellal"
278,Can't Stand Losing You,2015,,35%,62%,83 minutes,"Documentary, Musical & Performing Arts",NR,,"Andy Grieve, Lauren Lazin","Andy Summers, Stewart Copeland, Sting",
279,The Whole Truth,2017,,33%,32%,93 minutes,"Drama, Mystery & Suspense",R,,Courtney Hunt,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso, Jim Belushi, Jim Klock, Ritchie Montgomery, Christopher Berry, Lara Grice, Nicole Barré, Kevin ""Lucky"" Johnson, Lyndsay Kimball, Jason Kirkpatrick, Sean Bridgers, Jackie Tuttle, Mattie Liptak, Ryan Grego, Thomas Francis Murphy, Dana Gourrier, Samantha Beaulieu, Wes Cannon, Jeff Grays, Barry Smith, Larry McGhee, Chauntrell Shelby, Mac Alsfeld, Genevieve Grogan, Maritta Viola Sattelmaier",Rafael Jackson
280,Juanita,2019,,77%,73%,90 minutes,Drama,NR,,Clark Johnson,"Alfre Woodard, Blair Underwood, Adam Beach, Gil Birmingham, Ashlie Atkinson, Marcus Henderson",Roderick M. Spencer
281,The Walking Deceased,2015,,0%,25%,88 minutes,Comedy,R,,Scott Dow,"Dave Sheridan, Joey Oglesby, Sophia Ali, Tim Ogletree, Troy Ogletree, Andrew Pozza",Tim Ogletree
282,"No Pay, Nudity",2016,,71%,24%,92 minutes,"Comedy, Drama",R,,Lee Wilkof,"Gabriel Byrne, Nathan Lane, Frances Conroy, Donna Murphy, Ethan Sandler",Ethan Sandler
283,Tusk,2014,,44%,36%,102 minutes,Horror,R,,Kevin Smith,"Justin Long, Genesis Rodriguez, Haley Joel Osment, Michael Parks, Johnny Depp, Ralph Garman, Harley Morenstein, Jennifer Schwalbach Smith, Harley Quinn Smith, Lily-Rose Depp, Ashley Greene, Zak Knutson",Kevin Smith
284,She's Funny That Way,2015,,42%,35%,93 minutes,Comedy,R,,Peter Bogdanovich,"Imogen Poots, Kathryn Hahn, Rhys Ifans, Owen Wilson, Quentin Tarantino, Joanna Lumley, Lucy Punch, Brian Donahue, Nell Schaap, Nur Khan, Chazz Menendez, Peter Cormican, Michael Shannon, Richard Lewis, Austin Pendleton, Tovah Feldshuh, Will Forte, Jennifer Esposito, George Morfogen, Debi Mazar, Besnik Shabani, Albert Jones, Ren Croney, Poppy Delevingne, Megan Rosen, Dimitri Dimitrov, Bergen Sanderford, Jennifer Aniston, Illeana Douglas, Graydon Carter, Jake Hoffman, Ahna O'Reilly, David Calderazzo, Jake Lucas, Sydney Lucas, Melanie Hill, Nora Jobling, Nicole Kohut, Bergen Loren Sanderford, Tatum O'Neal, Colleen Camp, Polly Adams, Scott Campbell, Erin Heatherton, Cybill Shepherd, David Francis Calderazzo","Peter Bogdanovich, Louise Stratten"
285,Live By Night,2017,,35%,42%,128 minutes,Drama,R,,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina, Scott Eastwood, Sienna Miller, Zoe Saldana, Chris Cooper, Robert Glenister, Miguel J. Pimentel, Titus Welliver, Max Casella, Christian Clemenson, J.D. Evermore, Clark Gregg, Anthony Michael Hall, Chris Sullivan (XII), Benny Ciaramello, Derek Mears, Danny Kitz, Bobby Curcuro, Bruce Serafin, Massi Furlan, Lewis Wheeler, Michael Mantell, Tom Virtue, Giuseppe Losavio, Peter Arpesella, Zak Lee Guarnaccia, Ric Sarabia, Gianfranco Terrin, Peter Sabri, Andrew Bongiorno, Eduardo Cruz, Ryan Young, Stanley M. Farrow, Michael Chieffo, Austin Swift, Anthony Palermo, David Fierro, Gabriel Silva",Ben Affleck
286,Youth,2016,,72%,69%,123 minutes,"Comedy, Drama",R,,Paolo Sorrentino,"Michael Caine, Harvey Keitel, Rachel Weisz, Paul Dano, Jane Fonda, Poppy Corby-Tuech, Alex MacQueen, Tom Lipinski, Ed Stoppard, Madalina Ghenea, Emilia Jones, Chloe Pirrie, Rebecca Calder, Elizabeth Kinnear, Richard Banks, Loredana Cannata, Gabriela Belisario, Laura De Marchi, Ian Keir Attard, Adam Jackson-Smith, Dorji Wangchuk, Mark Kozelek, Rolly Serrano, Nate Dern, Alex Beckett, Mark Gessner, Luna Mijovic, Vincent Wolterbeek, Wolfgang Michael, Cornelia Marxer, Heidi Maria Glossner, Helmut Förnbacher, Paloma Faith, Robert Seethaler, Alessandro Soriano, Maria letizia Gorga, Leo Artin, Attilio Zampieri, Aldo Ralli, Alexander Seibt, Kaspar Weiss, Sarah Amitrano, Portia Reiners, Leoni Staubli, Alice Bauer, Anabel Kutay, Paulina Jurgens, Beatrice Walker, Veronika Dash, Eugenia Caruso, Josie Taylor, Melinda Bokor, Jasmin Barbara Mairhofer, Celine Peruzzo, Bleta Jahaj, Lydia Rattei, Ashley Bryant, Beatrice Curnew, Tatiana Luter, Valentina Vujovic, Julia Danuser, Svenja Hassig, Lola Tobelem, Annámaria Cseh, Dominique Leidner, Daniela Bollinger, Felicitas Heyerick, Carolina Carlsson, Pascal Fleury, Sonia Gessner, Viktoria Mullova, Sumi Jo",Paolo Sorrentino
287,The Song,2015,,31%,82%,112 minutes,"Drama, Romance",PG-13,,Richard Ramsey,"Alan Powell, Ali Faulkner, Caitlin Nicol-Thomas, Danny Vinson, Gary Jenkins, Aaron Benward, Kenda Benward, Jude Ramsey, Landon Marshall, Rachel T. Mitchell, Baxter Clement, Jason Bynum, Rayan Thomas, Mayrk McNeely, Verity Vice Jones, Jeremy King, David Graham, Tyler Boydstun",Richard Ramsey
288,I Am Thor,2016,,88%,71%,84 minutes,Documentary,NR,,Ryan Wise,"Jon Mikl Thor, Mike Favata, Steve Price (XV), Keith Zazzi",
289,No Manches Frida,2016,,13%,75%,100 minutes,Comedy,PG-13,,Nacho G. Velilla,"Omar Chaparro, Martha Higareda, Fernanda Castillo, Mónica Dionne, Rachel Garza, Adal Ramones, Mónica Dionne, Raquel Garza, Rocío García, Regina Pavón, Mario Morán, Pamela Moreno, Andres Pardave, Aidan Vallejo, Carla Adell, Tara Parra, Brigitte Bozzo, Norma Angelica Rodriguez, Norma Angélica, Rosario Zuniga, Karen Furlong, Emanuel Lattanzio, Pakey Vasquez, Rogelio Frausto, Daniel Martinez XI, Susana Ayala, Miriam Calderón, Rossana Engel","Laurence Rosenthal, Claudio Herrera, Sergio Adrian Sánchez"
290,Raiders!: The Story of the Greatest Fan Film Ever Made,2016,,90%,77%,104 minutes,Documentary,NR,,"Jeremy Coon, Tim Skousen","Eric Zala, Chris Strompolos, Jayson Lamb, Eli Roth, John Rhys-Davies, Ángela Rodríguez, Harry Knowles, Tim Skousen","Tim Skousen, Jeremy Coon"
291,Wolves,2015,,25%,30%,91 minutes,Action & Adventure,R,,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson, Jason Momoa, Kaitlyn Leeb, Jennifer Hale, Miriam McDonald, Melanie Scrofano, Alain Moussi, Adam MacDonald, Robert Mollohan, Thomas J. Strada, Azra Valani, Matthew Currie Holmes, Brandon McGibbon, Casey Hudecki, Simon Northwood, Adrienne Kress, Philip Maurice Hayes, Maxwell McCabe-Lokos, Leland Tilden, Jonathan Caines, Jonathan Llyr, Wayne Curnew, Kyle Shapiro, Eric Daniel, Issey Abraha, Ryan Brownlee",David Hayter
292,Echoes of War,2015,,31%,43%,100 minutes,"Drama, Mystery & Suspense, Western",R,,Kane Senes,"James Badge Dale, Rhys Wakefield, Ethan Embry, Maika Monroe, William Forsythe, Beth Broderick, Ryan O'Nan, Owen Teague, Marie Mizner, John Chriss","Kane Senes, John Chriss"
293,Godzilla Resurgence (Shin Godzilla),2017,,85%,73%,120 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",NR,,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Satomi Ishihara, Yutaka Takenouchi, Ren Osugi, Akira Emoto",Hideaki Anno
