movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1657,In Dubious Battle,2017,,30%,36%,110 minutes,Drama,R,,James Franco,"James Franco, Nat Wolff, Vincent D'Onofrio, Selena Gomez, Ed Harris, Josh Hutcherson, Sam Shepard, Zach Braff, Robert Duvall, Bryan Cranston, Analeigh Tipton",Matt Rager
1658,King Arthur: Legend Of The Sword,2017,,31%,69%,,"Action & Adventure, Drama",PG-13,,Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Djimon Hounsou, Aidan Gillen, Jude Law, Eric Bana, Annabelle Wallis","Joby Harold, Guy Ritchie, Lionel Wigram"
1659,Kodachrome,2018,,71%,69%,105 minutes,Drama,NR,,Mark Raso,"Jason Sudeikis, Ed Harris, Elizabeth Olsen, Gethin Anthony, Sebastian Pigott",Jonathan Tropper
1660,The Incredible Jessica James,2017,,88%,66%,85 minutes,Comedy,NR,,James C. Strouse,"Jessica Williams, LaKeith Stanfield, Noël Wells, Taliyah Whitaker",James C. Strouse
1661,Hangar 10,2015,,14%,17%,83 minutes,"Horror, Mystery & Suspense, Science Fiction & Fantasy",NR,,Daniel Simpson,"Robert Curtis, Abbie Salt, Danny Shayler","Daniel Simpson, Adam Preston"
1662,The Crucifixion,2017,,7%,24%,90 minutes,Horror,R,,Xavier Gens,"Sophie Cookson, Corneliu Ulici, Brittany Ashworth, Matthew Zajac, Diana Vladu",Chad Hayes
1663,Candy Jar,2018,,71%,70%,,Comedy,NR,,Ben Shelton,"Christina Hendricks, Helen Hunt, Uzo Aduba, Tom Bergeron, Sami Gayle",Chad Klitzman
1664,The Nightingale (Ye Ying - Le promeneur d'oiseau),2016,,90%,59%,100 minutes,"Art House & International, Drama, Kids & Family",NR,,Philippe Muyl,"Baotian Li, Li Baotian, Qin Hao, XiaoRan Li, Yang Xin Yi","Philippe Muyl, Ning Ning"
1665,Learning To Drive,2016,,66%,59%,105 minutes,"Drama, Romance",R,,Isabel Coixet,"Patricia Clarkson, Ben Kingsley, Grace Gummer, Jake Weber, Sarita Choudhury, Samantha Bee, John Hodgman, Daniela Lavender, Matt Salinger, Michael Mantell, Jessie Nagpal, Jonathan C. Kaplan, Joan Juliet Buck, Amelia Fowler, Avi Nash, Bryan Burton, Bryan Burton Lewis, Randy Graff, Lorri Lindberg, Hervender Singh, Raf Liriano, Royce Johnson, Harpreet Singh, Sean Cole, Justin Gregory Lopez, Rajika Puri, Anna Itty, Nora Hummel, Gina Jarrin, Beau Baxter, Patrick Brana, Jonathan Charles Kaplan, Shawn Michael",Sarah Kernochan
1666,Kids for Cash,2014,,92%,74%,104 minutes,"Documentary, Drama, Special Interest",PG-13,,Robert May,"Mark Ciavarella, Amanda Lorah, Marsha Levick, Terrie Morgan-Besecker, Robert Schwartz, Hillary Transue, Charlie Balasavage, Justin Bodner, Sandy Fonzo, Michael Conahan",
1667,Bad Samaritan,2018,,54%,69%,107 minutes,Drama,R,,Dean Devlin,"David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers, Lisa Brenner",Brandon Boyce
1668,The Archer,2018,,80%,100%,86 minutes,Drama,NR,,Valerie Weiss,"Bailey Noble, Bill Sage, Jeanine Mason, Michael Grant Terry, Kurt Fuller, Dendrie Taylor, Kyanna Simone Simpson, Grace Victoria Cox, Alexis Rosinsky, Andrew Caldwell, Timothy Granaderos, Robert A. Johnson, Ana Markova",Casey Schroen
